LTERYear,expyr,plot,ring,ctrt,ntrt,sprich,cntrt,Achillea_millefolium,Elymus_repens,Amorpha_canescens,Andropogon_gerardi,Anemone_cylindrica,Asclepias_tuberosa,Bouteloua_gracilis,Bromus_inermis,Koeleria_micrathera,Lespedeza_capitata,Lupinus_perennis,Dalea_villosa,Poa_pratensis,Schizachyrium_scoparium,Solidago_rigida,Sorghastrum_nutans,light,biom_totag,proportion_wb,wp_predicted,nhood_by_wp
2008,11,175,3,Cenrich,Nenrich,16,"EC, EN",0,0,0,21,0,3,0,8,2,0,51,0,7,0,0,0,0.309005032,373.5,0.004916141,10.7385,0.605298692
2008,11,179,3,Cenrich,Namb,16,"EC, AN",0,0,11,38,0,0,0,0,0,14,21,0,13,0,0,0,0.359660959,476,0,11.0098,0.635797199
2008,11,180,3,Cenrich,Nenrich,16,"EC, EN",0,2.5,0,33.5,0,0,0,3.5,0,3.5,45.5,0,5.5,0,5,0,0.362785085,683.8,0.001050737,10.7385,0.605298692
2008,11,184,4,Camb,Namb,16,"AC, AN",0,0,3.5,4,0,0,0,5,0,7.5,57,0,12,0,2,0,0.402177736,506.2,0.003217096,11.8237,0.718895101
2008,11,188,4,Camb,Namb,16,"AC, AN",0,0,18,5,0,2.5,0,2,0,0,44,0,6,13,9,0,0.325042553,571.13,6.71025e-4,11.8237,0.718895101
2008,11,201,4,Camb,Namb,16,"AC, AN",0,0,11,10,0,0,0,0,2,9,39,0,11,0,13,0,0.297775376,512.3,0.002100789,10.7385,0.605298692
2008,11,205,4,Camb,Nenrich,16,"AC, EN",0,0,0,23,0,0,8,7,0,9,33,0,6,0,0,0,0.288363118,327.5,0.001375205,11.0098,0.635797199
2008,11,213,4,Camb,Nenrich,16,"AC, EN",0,0,0,18,0,0,13,15,0,9,27,2,4,0,0,0,0.33868296,285,7.3192e-4,11.2811,0.664828784
2008,11,222,4,Camb,Namb,16,"AC, AN",0,0,17,24,0,0,0,3,0,7,28,0,11,0,1,0,0.3425,460.2,0.002345096,11.2811,0.664828784
2008,11,234,4,Camb,Nenrich,16,"AC, EN",0,2,0,24,0,0,0,8,0,1,26,0,16,0,5,0,0.41,251,0,11.0098,0.635797199
2008,11,236,4,Camb,Nenrich,16,"AC, EN",0,0,0,26,0,9,0,6,0,4,32,0,14,0,0,0,0.3125,258.82,0.002968136,11.5524,0.692496797
2008,11,250,5,Cenrich,Namb,16,"EC, AN",0,0.5,2.5,11.5,0,0,0,8,0,5,23,0,15,1,29,0,0.260896937,257.6,0,11.2811,0.664828784
2008,11,253,5,Cenrich,Nenrich,16,"EC, EN",0,2,0,20,0,4,0,13,0,6,31,0,17,0,0,0,0.277907188,313,0.002106575,11.2811,0.664828784
2008,11,267,5,Cenrich,Nenrich,16,"EC, EN",0,2,0,12.5,0,2.5,0,9,0,8,40,0,17,4.5,0,0,0.195159063,318.2,1.02127e-4,11.0098,0.635797199
2008,11,270,5,Cenrich,Namb,16,"EC, AN",0,0.5,0,19,0,0,1.5,8,0,2.5,17,0,17,3,22,0,0.256136399,174.02,1.14916e-4,11.0098,0.635797199
2008,11,272,5,Cenrich,Namb,16,"EC, AN",0,1.4,6.5,29,0,0,0,5.5,1,9.5,27,0,14,0,1,0,0.223896065,525.4,4.76e-7,11.8237,0.718895101
2008,11,275,5,Cenrich,Nenrich,16,"EC, EN",0,2,0,28,0,2.5,0,22,0,6,17,0,7,2,3.5,0,0.28,492.21,0,11.5524,0.692496797
2008,11,283,5,Cenrich,Namb,16,"EC, AN",0,3.5,0,18,0,0,0,7,2,6,39,0,14,2.5,7,0,0.3125,222.7,0.017837257,11.2811,0.664828784
2008,11,301,5,Cenrich,Nenrich,16,"EC, EN",0,2.5,0,12,0,0,0,18,0,3.5,38.5,0,8,4,0,0,0.3125,219.3,2.37062e-4,11.0098,0.635797199
2008,11,306,6,Camb,Namb,16,"AC, AN",0,0,0,24,0,0,0,16,0,16,36,0,4.5,0,2.5,0,0.28,388.7,0.001022879,11.0098,0.635797199
2008,11,307,6,Camb,Nenrich,16,"AC, EN",0,0,0,6,0,0,0,12,0,25,38,0,6,0,0,0,0.2225,312.2,0.002941355,10.4672,0.573219199
2008,11,311,6,Camb,Nenrich,16,"AC, EN",0,0,0,11,0,0,0,16,0,0,40,0,6,0,0,0,0.2875,427.9,0.004080037,9.9246,0.503798642
2008,11,321,6,Camb,Nenrich,16,"AC, EN",0,3,0,17,0,0,0,8.5,0,8,38.5,0,5,15,0,0,0.19,483.4,0.006573691,10.7385,0.605298692
2008,11,344,6,Camb,Namb,16,"AC, AN",0,2,0,6.5,0,0,0,4.5,0,14,67,0,1.5,0,0,0,0.271556845,584.1,4.41938e-4,11.0098,0.635797199
2008,11,354,6,Camb,Nenrich,16,"AC, EN",0,3,0,22.5,0,0,0,5,1.5,26,38,0,2,0,0,0,0.274343873,278.7,0.017798222,11.2811,0.664828784
2008,11,355,6,Camb,Namb,16,"AC, AN",0,5.5,0,7,0,0,0,15,0,17,52,0,2,0,0,0,0.28129358,377.5,0.023844694,11.0098,0.635797199
2008,11,358,6,Camb,Namb,16,"AC, AN",0,2,3,3.5,0,0.5,0,6,0,8.5,61,0,15,0,0,0,0.25327092,478.4,6.80452e-4,11.5524,0.692496797
2018,21,13,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,45,0,0,4,1,0,1,10,0,4,0,0,2,0.0825,532.5,0,10.7385,0.605298692
2018,21,23,1,Cenrich,Namb,16,"EC, AN",0,1,3,9,0,0,0,0,0,1,9,0,8,0,0,11,0.1925,288,0,9.9246,0.503798642
2018,21,30,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,55,0,0,0,0,0,0,5,0,7,0,0,0,0.1875,562.4,0,8.8394,0.339389551
2018,21,33,1,Cenrich,Namb,16,"EC, AN",0,0,2,15,0,0,0,0,0,1,5,0,5,0,0,10,0.2325,1162.6,0,9.6533,0.466161831
2018,21,43,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,65,0,3,0,0,0,0,1,0,8,0,0,0,0.165,1508.2,0,9.1107,0.384163676
2018,21,45,1,Cenrich,Namb,16,"EC, AN",0,0,1,60,0,0,0,0,0,3,1,0,8,0,0,0,0.195,1637,0,9.9246,0.503798642
2018,21,51,1,Cenrich,Namb,16,"EC, AN",0,0,1,52,0,0,0,0,0,5,13,0,9,0,0,0,0.2225,346.4,0,10.1959,0.539432517
2018,21,52,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,80,0,0,0,0,0,0,6,0,3,0,0,0,0.2125,284.9,0,9.382,0.426348327
2018,21,64,2,Camb,Nenrich,16,"AC, EN",0,0,0,27,0,0,0,0,0,0,0,0,7,0,0,7,0.2275,1039.79,0,9.382,0.426348327
2018,21,67,2,Camb,Namb,16,"AC, AN",0,0,0,35,0,0,0,0,0,2,2,0,9,0,0,0,0.2625,828.63,0,10.1959,0.539432517
2018,21,69,2,Camb,Namb,16,"AC, AN",0,0,0,19,0,0,0,0,0,0,3,0,8,4,0,3,0.2075,637.61,0,9.9246,0.503798642
2018,21,104,2,Camb,Namb,16,"AC, AN",0,0,6,30,0,0,0,0,0,0,3,0,6.5,1,0,0,0.0875,725.61,0,10.1959,0.539432517
2018,21,107,2,Camb,Namb,16,"AC, AN",0,0,8,35,0,0,0,0.5,0,3,0,0,6,0,0,0,0.3175,612.6,0,9.9246,0.503798642
2018,21,108,2,Camb,Nenrich,16,"AC, EN",0,1,0,45,0,0,0,0,0,1,0,0,6,0,0,0,0.2025,662.89,0,9.382,0.426348327
2018,21,110,2,Camb,Nenrich,16,"AC, EN",0,1,0,28,0,0,0,0,0,1,3,0,9,0,1,0,0.1825,237.68,0,10.4672,0.573219199
2018,21,118,2,Camb,Nenrich,16,"AC, EN",0,1,0,28,0,25,0,0,0,0,2,0,14,0,0,0,0.26,811.69,0,9.6533,0.466161831
2018,21,130,3,Cenrich,Nenrich,16,"EC, EN",0,1,0,50,0,0,0,1,0,0,0,0,6,2,0,5,0.1875,1077.4,0,9.9246,0.503798642
2018,21,147,3,Cenrich,Namb,16,"EC, AN",0,0,6,20,0,3,0,0,0,1,0,0,10,7,0,1,0.15,461.03,0,10.1959,0.539432517
2018,21,151,3,Cenrich,Nenrich,16,"EC, EN",0,0,0,48,0,1,0,0,0,1,0,0,8,0,0,0,0.185,458.17,0,9.382,0.426348327
2018,21,163,3,Cenrich,Namb,16,"EC, AN",0,0,5,50,0,5,0,1,0,1.5,0,0,5,0,4,0,0.21,525.63,0,10.7385,0.605298692
2018,21,173,3,Cenrich,Namb,16,"EC, AN",0,0,2,45,0,0,0,0,0,0.5,2,0,4,0,3,0,0.16,802.8,0,11.2811,0.664828784
2018,21,175,3,Cenrich,Nenrich,16,"EC, EN",0,0,3,45,0,4,0,0,0,0,0,0,4,0,0,0,0.1775,395.609,0,10.1959,0.539432517
2018,21,179,3,Cenrich,Namb,16,"EC, AN",0,0,5,50,0,0,0,0,0,1,0,0,7,0,0,0,0.135,606.62,0,9.6533,0.466161831
2018,21,180,3,Cenrich,Nenrich,16,"EC, EN",0,0,0,40,0,12,0,0,0,1,1,0,10,0,0,0,0.2125,1489.82,0,10.1959,0.539432517
2018,21,184,4,Camb,Namb,16,"AC, AN",0,0,4,28,0,0,0,0,0,0,1,0,5,1,0,1,0.1675,445.82,0,11.0098,0.635797199
2018,21,188,4,Camb,Namb,16,"AC, AN",0,0,7,22,0,1,0,0,0,0,5,0,7,0,0,1,0.11,403.83,0,10.4672,0.573219199
2018,21,201,4,Camb,Namb,16,"AC, AN",0,0,7,29,0,0,0,0,0,0,4,0,3,3,0,0,0.16,403.79,0,10.1959,0.539432517
2018,21,205,4,Camb,Nenrich,16,"AC, EN",0,0,0,24,0,0,0.5,0.5,0,2,1,0,8,0,0,0,0.1975,859.8,0,10.1959,0.539432517
2018,21,213,4,Camb,Nenrich,16,"AC, EN",0,0.5,0,17,0,0,0,0.5,0,0,0,4,5,0,0,0,0.2375,480,0,9.6533,0.466161831
2018,21,222,4,Camb,Namb,16,"AC, AN",0,0,14,42,0,0,0,0,0,1,2,0,4,0,0,0,0.17,376.82,0,10.1959,0.539432517
2018,21,234,4,Camb,Nenrich,16,"AC, EN",0,1,0,38,0,0,0,0,0,0.5,2,0,3,0,0,0,0.21,474.7,0,9.382,0.426348327
2018,21,236,4,Camb,Nenrich,16,"AC, EN",0,0,0,50,0,3,0,0,0,0,0,0,6,2,0,0,0.145,866.37,0,10.1959,0.539432517
2018,21,250,5,Cenrich,Namb,16,"EC, AN",0,0,4,31,0,0,0,0,0,0,8,0,5,1,4,4,0.3,508.4,0,10.4672,0.573219199
2018,21,253,5,Cenrich,Nenrich,16,"EC, EN",0,2,0,42,0,6,0,0,0,0,1,0,4,0,0,0,0.1325,887.4,0,9.6533,0.466161831
2018,21,267,5,Cenrich,Nenrich,16,"EC, EN",0,0,0,62,0,4,0,0,0,0,1,0,11,0,0,0,0.11,796,0,9.6533,0.466161831
2018,21,270,5,Cenrich,Namb,16,"EC, AN",0,0,0,64,0,0,0,0,0,0,0,0,8,0,0.5,0,0.2375,461.7,0,9.1107,0.384163676
2018,21,272,5,Cenrich,Namb,16,"EC, AN",0,0.5,7,13,0,0,0,0,0,0.5,7,0,10,0,1,0,0.22,566,0,11.2811,0.664828784
2018,21,275,5,Cenrich,Nenrich,16,"EC, EN",0,1,0,48,0,5,0,0,0,2,2,0,4,0,0,0,0.19,1179.5,0,10.4672,0.573219199
2018,21,283,5,Cenrich,Namb,16,"EC, AN",0,0,1,55,0,0,0,1,0,1,6,0,7,0,1,0,0.165,1193.9,0,10.4672,0.573219199
2018,21,301,5,Cenrich,Nenrich,16,"EC, EN",0,1,1,50,0,0,0,0,0,0,6,0,4,0,0,0,0.2025,555.6,0,9.6533,0.466161831
2018,21,306,6,Camb,Namb,16,"AC, AN",0,0,0,38,0,0,0,0.5,0,2,3,0,6,0,0,0.5,0.14,166.71,0,10.4672,0.573219199
2018,21,307,6,Camb,Nenrich,16,"AC, EN",0,1,0,20,0,0,6,2,0,0,4,0,11,0,0,0,0.2225,1540.46,0,10.4672,0.573219199
2018,21,311,6,Camb,Nenrich,16,"AC, EN",0,1,0,28,0,0,0,0,0,2,4,0,10,0,0,0,0.1975,1048.9,0,10.1959,0.539432517
2018,21,321,6,Camb,Nenrich,16,"AC, EN",0,0,0,36,0,0,1,2,0,0,2,0,9,3,0,0,0.1325,836.3,0,10.1959,0.539432517
2018,21,344,6,Camb,Namb,16,"AC, AN",0,0,0,34,0,0,0,0,0,1,0,0,6,0,0,0,0.1175,687.9,0,9.6533,0.466161831
2018,21,354,6,Camb,Nenrich,16,"AC, EN",0,1,0,35,0,0,0,1,0,0,0,0,4.5,0,0,0,0.1225,888.1,0,9.382,0.426348327
2018,21,355,6,Camb,Namb,16,"AC, AN",0,0,3,55,0,0,0,0,0,0,0,0,5,0,0,0,0.055,1080.73,0,9.9246,0.503798642
2018,21,358,6,Camb,Namb,16,"AC, AN",0,0,3,50,0,0,0,0,0,2,3,0,5,0,0,0,0.1025,452.9,0,9.9246,0.503798642
